model,retrieval,chunk,top_k,recall@k,accuracy,f1,accuracy_given_hit,hit_and_wrong_ratio
smollm2:135m,VEC,W100,1,0.68,0.45,0.4752489015913146,0.6411764705882353,0.244
smollm2:135m,VEC,W100,2,0.76,0.362,0.3827993878394928,0.46842105263157896,0.404
smollm2:135m,VEC,W100,3,0.798,0.34,0.362281580995623,0.41854636591478694,0.464
qwen2.5:0.5b,VEC,W100,1,0.68,0.576,0.595266113570849,0.8235294117647058,0.12
qwen2.5:0.5b,VEC,W100,2,0.76,0.57,0.5889304037406663,0.7368421052631579,0.2
qwen2.5:0.5b,VEC,W100,3,0.798,0.55,0.5707459720875361,0.6766917293233082,0.258
qwen2.5:7b,VEC,W100,1,0.68,0.556,0.570054030410085,0.8147058823529412,0.126
qwen2.5:7b,VEC,W100,2,0.76,0.584,0.5954973479377046,0.7684210526315789,0.176
qwen2.5:7b,VEC,W100,3,0.798,0.592,0.6041239120989623,0.7418546365914787,0.206
