model,retrieval,chunk,top_k,recall@k,accuracy,f1,accuracy_given_hit,hit_and_wrong_ratio
smollm2:135m,VEC,W100,1,0.68,0.45,0.475248902,0.641176471,0.244
smollm2:135m,VEC,W100,2,0.76,0.362,0.382799388,0.468421053,0.404
smollm2:135m,VEC,W100,3,0.798,0.34,0.362281581,0.418546366,0.464
qwen2.5:0.5b,VEC,W100,1,0.68,0.576,0.595266114,0.823529412,0.12
qwen2.5:0.5b,VEC,W100,2,0.76,0.57,0.588930404,0.736842105,0.2
qwen2.5:0.5b,VEC,W100,3,0.798,0.55,0.570745972,0.676691729,0.258
qwen2.5:7b,VEC,W100,1,0.68,0.556,0.57005403,0.814705882,0.126
qwen2.5:7b,VEC,W100,2,0.76,0.584,0.595497348,0.768421053,0.176
qwen2.5:7b,VEC,W100,3,0.798,0.592,0.604123912,0.741854637,0.206
