model,retrieval,chunk,top_k,status
smollm2:135m,VEC,T512_O128,2,COMPLETED
smollm2:135m,VEC,T512_O128,3,COMPLETED
smollm2:135m,VEC,W100,2,COMPLETED
smollm2:135m,VEC,W100,3,COMPLETED
qwen2.5:0.5b,VEC,T512_O128,2,COMPLETED
qwen2.5:0.5b,VEC,T512_O128,3,COMPLETED
qwen2.5:0.5b,VEC,W100,2,COMPLETED
qwen2.5:0.5b,VEC,W100,3,COMPLETED
qwen2.5:7b,VEC,T512_O128,2,COMPLETED
qwen2.5:7b,VEC,T512_O128,3,COMPLETED
qwen2.5:7b,VEC,W100,2,COMPLETED
qwen2.5:7b,VEC,W100,3,COMPLETED
